Number,Description,L,a,b
402,Mahogany Vy Lt,192,152,165
3776,Mahogany Light,151,156,176
301,Mahogany Med,126,158,171
400,Mahogany Dark,96,157,171
300,Mahogany Vy Dk,71,154,167
3823,Yellow Ultra Pale,252,124,141
3855,Autumn Gold Lt,221,134,163
3854,Autumn Gold Med,195,145,174
3853,Autumn Gold Dk,180,156,183
3827,Golden Brown Pale,204,142,171
977,Golden Brown Light,177,145,174
976,Golden Brown Med,152,147,172
3826,Golden Brown,136,146,168
975,Golden Brown Dk,104,151,173
948,Peach Very Light,238,134,137
754,Peach Light,217,142,140
3771,Terra Cotta Ult Vy Lt,206,146,145
758,Terra Cotta Vy Lt,193,151,146
3778,Terra Cotta Light,166,157,150
356,Terra Cotta Med,140,163,153
3830,Terra Cotta,124,167,157
355,Terra Cotta Dark,101,162,153
3777,Terra Cotta Vy Dk,83,164,156
3779,Rosewood Ult Vy Lt,217,144,135
3859,Rosewood Light,158,144,143
3858,Rosewood Med,104,159,149
3857,Rosewood Dark,63,157,151
3774,Desert Sand Vy Lt,231,133,135
950,Desert Sand Light,220,135,139
3064,Desert Sand,162,145,152
407,Desert Sand Med,151,147,154
3773,Desert Sand Dark,141,150,158
3772,Desert Sand Vy Dk,129,145,152
632,Desert Sand Ult Vy Dk,105,146,153
453,Shell Gray Light,213,131,131
452,Shell Gray Med,189,132,132
451,Shell Gray Dark,136,135,135
3861,Cocoa Light,151,138,136
3860,Cocoa,109,140,137
779,Cocoa Dark,87,136,135
712,Cream,252,127,134
739,Tan Ult Vy Lt,234,130,144
738,Tan Very Light,214,133,155
437,Tan Light,200,137,156
436,Tan,164,144,170
435,Brown Very Light,143,149,164
434,Brown Light,116,148,162
433,Brown Med,89,147,160
801,Coffee Brown Dk,73,145,156
898,Coffee Brown Vy Dk,52,140,149
938,Coffee Brown Ult Dk,37,137,144
3371,Black Brown,16,132,134
543,Beige Brown Ult Vy Lt,232,130,140
3864,Mocha Beige Light,192,131,144
3863,Mocha Beige Med,145,135,154
3862,Mocha Beige Dark,124,134,150
3031,Mocha Brown Vy Dk,68,132,142
B5200,Snow White,255,128,128
White,White,252,128,130
3865,Winter White,248,128,131
Ecru,Ecru,237,127,136
822,Beige Gray Light,229,127,136
644,Beige Gray Med,221,127,135
642,Beige Gray Dark,161,127,146
640,Beige Gray Vy Dk,132,128,144
3787,Brown Gray Dark,101,128,136
3021,Brown Gray Vy Dk,82,128,135
3024,Brown Gray Vy Lt,237,128,130
3023,Brown Gray Light,178,127,139
3022,Brown Gray Med,151,123,141
535,Ash Gray Vy Lt,107,125,135
3033,Mocha Brown Vy Lt,222,130,135
3782,Mocha Brown Lt,198,132,142
3032,Mocha Brown Med,170,132,141
3790,Beige Gray Ult Dk,118,133,143
3781,Mocha Brown Dk,98,133,143
3866,Mocha Brn Ult Vy Lt,248,128,131
842,Beige Brown Vy Lt,196,132,144
841,Beige Brown Lt,168,134,147
840,Beige Brown Med,138,135,150
839,Beige Brown Dk,95,132,143
838,Beige Brown Vy Dk,82,132,141
3072,Beaver Gray Vy Lt,234,127,128
648,Beaver Gray Lt,188,129,133
647,Beaver Gray Med,175,130,134
646,Beaver Gray Dk,135,130,135
645,Beaver Gray Vy Dk,111,130,134
844,Beaver Gray Ult Dk,78,128,128
762,Pearl Gray Vy Lt,238,128,128
415,Pearl Gray,216,129,126
318,Steel Gray Lt,179,128,128
414,Steel Gray Dk,149,128,128
168,Pewter Very Light,214,128,128
169,Pewter Light,141,128,128
317,Pewter Gray,116,128,128
413,Pewter Gray Dark,93,128,128
3799,Pewter Gray Vy Dk,71,128,128
310,Black,0,128,128
